date,ticker,side,weight_delta,cost,old_weight,new_weight
2026-06-08,CHAMBLFERT,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,GESHIP,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,GLAXO,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,GNFC,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,HINDCOPPER,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,IEX,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,IRCTC,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,LUPIN,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,MCX,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,MUTHOOTFIN,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,NATIONALUM,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,NMDC,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,OFSS,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,PETRONET,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
2026-06-08,VEDL,buy,0.06666666666666667,0.0002790817333333333,0.0,0.06666666666666667
